Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,24.66,25.190001,24.66,24.85,26795000,23.079014
2010-01-05,24.719999,24.85,24.35,24.82,28669900,23.051151
2010-01-06,24.77,24.92,24.379999,24.459999,24560700,22.716807
2010-01-07,24.459999,24.610001,24.08,24.379999,30469700,22.642508
2010-01-08,24.280001,24.75,24.25,24.68,23542400,22.921129
2010-01-11,24.690001,24.799999,24.370001,24.690001,19002400,22.930417
2010-01-12,24.559999,24.610001,24.309999,24.559999,26204600,22.80968
2010-01-13,24.629999,24.99,24.549999,24.799999,24912300,23.032576
2010-01-14,25.129999,25.58,25.049999,25.34,44685200,23.581636
2010-01-15,25.469999,25.639999,24.99,25.24,42296200,23.488575
2010-01-19,25.32,25.5,25.120001,25.33,22732200,23.57233
2010-01-20,25.049999,25.129999,24.51,25.059999,39971500,23.321065
2010-01-21,25.190001,25.540001,24.59,24.83,41756100,23.107026
2010-01-22,24.940001,25.049999,24.110001,24.15,33681500,22.474211
2010-01-25,24.24,24.27,23.82,24.030001,26366600,22.362539
2010-01-26,23.93,24.129999,23.700001,23.879999,28746000,22.222946
2010-01-27,23.9,24.049999,23.540001,23.860001,28819300,22.204335
2010-01-28,24.08,24.18,23.290001,23.469999,41245700,21.841397
2010-01-29,23.65,23.83,22.98,23.059999,49957800,21.459847
2010-02-01,23.360001,23.379999,22.860001,23.219999,29572800,21.608744
2010-02-02,23.33,23.85,23.24,23.76,32150600,22.111274
2010-02-03,23.75,23.84,23.52,23.75,23101100,22.101968
2010-02-04,23.610001,23.780001,23.1,23.110001,33254900,21.506378
2010-02-05,23.35,23.67,23.07,23.549999,45919600,21.915845
2010-02-08,23.540001,23.65,23.1,23.120001,32929200,21.515685
2010-02-09,23.469999,23.719999,23.25,23.51,34084100,21.878622
2010-02-10,23.51,23.610001,22.92,23.110001,40139200,21.506378
2010-02-11,23.059999,23.51,22.83,23.35,28159000,21.729724
2010-02-12,23.110001,23.5,22.969999,23.41,33657700,21.78556
2010-02-16,23.690001,23.85,23.440001,23.809999,21582200,22.157804
2010-02-17,23.950001,24.280001,23.940001,24.18,26147200,22.50213
2010-02-18,24.110001,24.57,24.059999,24.52,31679100,22.818537
2010-02-19,24.41,24.540001,24.18,24.32,25941000,22.632415
2010-02-22,24.59,24.98,24.440001,24.809999,37081800,23.088413
2010-02-23,24.809999,24.889999,24.379999,24.48,25098300,22.781312
2010-02-24,24.629999,24.83,24.459999,24.77,24530400,23.051189
2010-02-25,24.450001,24.9,24.209999,24.870001,29145200,23.144251
2010-02-26,24.959999,24.959999,24.540001,24.65,21048700,22.939516
2010-03-01,24.6,24.91,24.540001,24.74,19744300,23.023271
2010-03-02,24.790001,24.950001,24.52,24.58,23535000,22.874373
2010-03-03,24.51,24.690001,24.4,24.5,20726400,22.799925
2010-03-04,24.469999,24.860001,24.280001,24.76,20925500,23.041883
2010-03-05,24.860001,25.0,24.84,24.950001,19312900,23.218699
2010-03-08,24.969999,24.969999,24.68,24.700001,16843600,22.986047
2010-03-09,24.6,25.1,24.559999,24.879999,21835800,23.153555
2010-03-10,24.790001,25.02,24.68,24.870001,23095900,23.144251
2010-03-11,24.799999,25.25,24.799999,25.139999,24214600,23.395514
2010-03-12,25.120001,25.190001,24.73,25.049999,35344700,23.311759
2010-03-15,24.92,25.379999,24.879999,25.280001,22025300,23.5258
2010-03-16,25.379999,25.41,24.9,25.209999,25478300,23.460656
2010-03-17,25.23,25.700001,25.139999,25.469999,30309400,23.702615
2010-03-18,25.43,25.6,25.27,25.379999,29185800,23.61886
2010-03-19,25.549999,25.73,24.950001,25.190001,45881000,23.442045
2010-03-22,25.190001,25.700001,25.16,25.559999,24945500,23.78637
2010-03-23,25.67,26.0,25.540001,25.99,25834200,24.186532
2010-03-24,25.98,26.0,25.700001,25.76,28837000,23.972492
2010-03-25,25.950001,26.25,25.719999,26.040001,54350900,24.233064
2010-03-26,25.700001,26.0,25.370001,25.690001,58562200,23.90735
2010-03-29,25.65,25.85,25.41,25.57,28975300,23.795676
2010-03-30,25.48,25.58,25.219999,25.540001,29819400,23.767759
2010-03-31,25.33,25.790001,25.299999,25.709999,27196400,23.925961
2010-04-01,25.780001,25.950001,25.190001,25.459999,26562700,23.693309
2010-04-05,25.51,25.74,25.35,25.58,19390200,23.804982
2010-04-06,25.370001,25.940001,25.299999,25.83,26937600,24.037635
2010-04-07,25.76,25.99,25.75,25.91,29833200,24.112083
2010-04-08,25.879999,26.08,25.719999,25.83,28266100,24.037635
2010-04-09,25.799999,26.139999,25.65,26.129999,19663700,24.316817
2010-04-12,26.059999,26.280001,25.85,26.200001,24773300,24.428705
2010-04-13,26.01,26.629999,26.0,26.35,33933000,24.568564
2010-04-14,26.34,26.5,26.200001,26.379999,27920000,24.596535
2010-04-15,26.290001,26.4,26.139999,26.200001,23828200,24.428705
2010-04-16,26.09,26.370001,25.91,25.950001,42289300,24.195607
2010-04-19,25.98,26.299999,25.870001,26.190001,27078800,24.419381
2010-04-20,26.379999,26.41,26.02,26.15,23703400,24.382085
2010-04-21,26.120001,26.33,25.98,26.290001,24276800,24.512621
2010-04-22,26.139999,26.309999,25.860001,26.24,27275800,24.466
2010-04-23,26.17,26.52,26.16,26.48,27478900,24.689774
2010-04-26,26.5,26.610001,26.25,26.469999,20080500,24.68045
2010-04-27,26.34,26.52,25.9,25.98,26235700,24.223578
2010-04-28,26.02,26.110001,25.780001,25.860001,31820300,24.111692
2010-04-29,25.99,26.139999,25.709999,25.969999,18620100,24.214254
2010-04-30,26.07,26.1,25.690001,25.870001,25567400,24.121016
2010-05-03,26.049999,26.15,25.709999,26.01,19357000,24.25155
2010-05-04,25.58,25.67,24.709999,24.969999,48382700,23.28186
2010-05-05,24.85,25.120001,24.629999,24.940001,33663600,23.25389
2010-05-06,24.860001,24.969999,22.200001,23.91,56242000,22.293524
2010-05-07,23.92,24.25,23.110001,23.41,63592900,21.827327
2010-05-10,24.030001,25.129999,23.99,24.389999,38947200,22.741072
2010-05-11,24.25,24.610001,24.110001,24.190001,29469800,22.554595
2010-05-12,24.209999,24.700001,24.190001,24.6,27116300,22.936876
2010-05-13,24.42,24.549999,24.200001,24.24,22780300,22.601214
2010-05-14,24.1,24.120001,23.540001,23.780001,28736600,22.172314
2010-05-17,23.889999,23.889999,23.33,23.74,22401200,22.135017
2010-05-18,23.799999,23.950001,23.309999,23.43,29926200,21.845976
2010-05-19,23.219999,23.5,23.02,23.190001,29806500,21.622201
2010-05-20,22.950001,23.030001,22.34,22.35,40313300,20.838991
